title,year,length,budget,rating,votes
Time Bandits,1981,110,5000000,6.9,9434
Blade Runner,1982,117,28000000,8.2,74749
E.T. the Extra-Terrestrial,1982,120,10500000,7.8,44175
"Thing, The",1982,109,10000000,7.8,17071
Star Trek: The Wrath of Khan,1982,116,11000000,7.6,16333
Gandhi,1982,188,22000000,8,15879
Tootsie,1982,119,NA,7.5,13802
Conan the Barbarian,1982,129,20000000,6.5,13624
First Blood,1982,97,14000000,6.8,11956
Poltergeist,1982,114,10700000,7.3,11575
Fast Times at Ridgemont High,1982,90,4500000,7.1,10361
Rocky III,1982,99,NA,5.7,9809
Pink Floyd The Wall,1982,95,NA,7.5,9567
Tron,1982,96,17000000,6.4,9084
48 Hrs.,1982,96,NA,6.8,8742
Star Wars: Episode VI - Return of the Jedi,1983,135,32500000,8.1,82471
Scarface,1983,170,25000000,7.9,28300
"Christmas Story, A",1983,93,NA,8.1,19737
"Right Stuff, The",1983,193,27000000,7.9,12907
"Meaning of Life, The",1983,112,9000000,7.3,12351
WarGames,1983,114,12000000,6.9,11474
Trading Places,1983,118,NA,7.3,11293
Risky Business,1983,98,6200000,6.7,8622
Vacation,1983,98,NA,7.1,8559
"Terminator, The",1984,108,6400000,7.9,59772
Amadeus,1984,180,18000000,8.3,36955
Indiana Jones and the Temple of Doom,1984,118,28000000,7.2,34880
Ghost Busters,1984,107,30000000,7.5,29762
This Is Spinal Tap,1984,82,NA,8,20576
Once Upon a Time in America,1984,227,30000000,8.2,19292
Dune,1984,190,45000000,6.3,16903
Beverly Hills Cop,1984,105,15000000,7.1,16360
Gremlins,1984,106,11000000,6.8,15044
"Nightmare On Elm Street, A",1984,91,1800000,7.1,12590
"Karate Kid, The",1984,126,NA,6.6,10783
Romancing the Stone,1984,105,NA,6.8,9986
Star Trek III: The Search for Spock,1984,105,17000000,6.2,9808
Blood Simple.,1984,97,NA,7.7,9684
"Killing Fields, The",1984,141,NA,7.9,9575
Splash,1984,111,8000000,6.3,9428
Sixteen Candles,1984,93,6500000,6.9,8690
Back to the Future,1985,111,19000000,8.1,68647
Brazil,1985,94,15000000,8,30735
"Breakfast Club, The",1985,97,NA,7.6,24223
"Goonies, The",1985,114,19000000,7.2,18895
Witness,1985,112,12000000,7.6,14479
Ran,1985,160,11500000,8.4,11981
Rocky IV,1985,91,31000000,5.3,11503
Commando,1985,75,NA,5.7,10797
"Color Purple, The",1985,154,15000000,7.6,10599
Rambo: First Blood Part II,1985,94,44000000,5.1,9479
Clue,1985,97,15000000,6.7,8767
Aliens,1986,154,18500000,8.3,63961
Platoon,1986,120,6000000,8.1,35210
Top Gun,1986,110,15000000,6.5,32410
Ferris Bueller's Day Off,1986,102,NA,7.7,32130
Stand by Me,1986,89,8000000,8,30805
Blue Velvet,1986,120,6000000,7.7,18756
Highlander,1986,116,16000000,7.1,18146
Labyrinth,1986,101,25000000,7,12661
Crocodile Dundee,1986,98,NA,6.4,12034
"Name der Rose, Der",1986,130,20000000,7.7,11654
Star Trek IV: The Voyage Home,1986,136,25000000,7.1,11647
Big Trouble in Little China,1986,99,25000000,6.7,10803
"Fly, The",1986,92,15000000,7,9914
"Color of Money, The",1986,119,10000000,6.8,9095
Little Shop of Horrors,1986,94,30000000,6.4,8911
"Princess Bride, The",1987,98,16000000,8.2,53946
Full Metal Jacket,1987,116,30000000,8.2,47757
"Untouchables, The",1987,119,25000000,7.9,31587
Predator,1987,107,18000000,7.4,25254
Spaceballs,1987,96,22700000,6.7,20054
Lethal Weapon,1987,117,15000000,7.5,20041
Raising Arizona,1987,94,6000000,7.6,19991
RoboCop,1987,103,13000000,7.1,15974
Evil Dead II,1987,85,3500000,7.6,15743
Dirty Dancing,1987,100,6000000,5.9,14407
"Good Morning, Vietnam",1987,119,13000000,7.1,13823
"Running Man, The",1987,101,27000000,6.2,11847
"Planes, Trains & Automobiles",1987,93,NA,7.3,11626
"Lost Boys, The",1987,97,NA,6.7,11294
Wall Street,1987,125,15000000,7.2,11269
Beverly Hills Cop II,1987,100,20000000,5.8,10446
Empire of the Sun,1987,154,38000000,7.5,9963
"Last Emperor, The",1987,219,25000000,7.7,9507
"Witches of Eastwick, The",1987,118,NA,6.3,8896
Fatal Attraction,1987,123,14000000,6.7,8541
Die Hard,1988,131,28000000,8,58870
Rain Man,1988,133,25000000,7.9,42562
"Fish Called Wanda, A",1988,108,7500000,7.7,25035
Who Framed Roger Rabbit,1988,99,70000000,7.4,21433
Beetle Juice,1988,92,15000000,7.1,20966
Big,1988,104,18000000,7.2,18660
Akira,1988,124,NA,7.7,14840
Twins,1988,105,15000000,5.9,13213
Coming to America,1988,116,28000000,6.6,13103
"Naked Gun: From the Files of Police Squad!, The",1988,85,NA,7.4,13010
Dangerous Liaisons,1988,119,14000000,7.6,12559
Willow,1988,126,35000000,6.8,10529
Cocktail,1988,104,NA,5.2,9713
Midnight Run,1988,126,30000000,7.5,9196
Working Girl,1988,115,NA,6.6,8934
Indiana Jones and the Last Crusade,1989,127,48000000,8.1,61583
Dead Poets Society,1989,128,16400000,7.7,43294
Batman,1989,126,35000000,7.4,35927
Back to the Future Part II,1989,108,40000000,7,28547
When Harry Met Sally...,1989,96,16000000,7.7,24492
"Abyss, The",1989,171,69500000,7.4,21987
Glory,1989,122,18000000,8.1,21861
Field of Dreams,1989,107,NA,7.7,21270
Lethal Weapon 2,1989,118,NA,6.9,14997
Ghostbusters II,1989,103,NA,5.7,14552
Nuovo cinema Paradiso,1989,170,NA,8.4,13999
"Little Mermaid, The",1989,83,NA,7.3,12681
Bill & Ted's Excellent Adventure,1989,90,10000000,6.6,12277
Born on the Fourth of July,1989,145,14000000,7,11480
Heathers,1989,102,NA,7.4,11110
Look Who's Talking,1989,93,7500000,5.5,10847
Say Anything...,1989,100,NA,7.6,10822
Christmas Vacation,1989,97,NA,6.9,9977
Do the Right Thing,1989,120,6500000,7.7,9324
Die xue shuang xiong,1989,104,NA,8,9323
Star Trek V: The Final Frontier,1989,107,27800000,4.8,9215
"Honey, I Shrunk the Kids",1989,101,NA,5.9,9038
Driving Miss Daisy,1989,99,7500000,7.4,8656
Goodfellas,1990,145,25000000,8.6,68219
Dances with Wolves,1990,236,19000000,7.8,28561
Edward Scissorhands,1990,105,20000000,7.7,27017
"Hunt for Red October, The",1990,134,30000000,7.6,26666
Total Recall,1990,113,65000000,7.2,26486
Back to the Future Part III,1990,118,40000000,6.7,24682
Pretty Woman,1990,125,14000000,6.6,23316
Die Hard 2,1990,124,70000000,6.7,22987
"Godfather: Part III, The",1990,169,54000000,7.3,22385
Home Alone,1990,103,15000000,6.4,21670
Ghost,1990,128,22000000,6.8,19005
Miller's Crossing,1990,115,14000000,8,14575
Kindergarten Cop,1990,111,NA,5.8,13476
Misery,1990,107,20000000,7.5,13120
Awakenings,1990,121,NA,7.4,11835
Nikita,1990,112,NA,7.6,10867
Dick Tracy,1990,105,47000000,5.7,9939
Predator 2,1990,108,NA,5.5,9858
Flatliners,1990,110,NA,6.3,9830
Days of Thunder,1990,107,60000000,5.4,9660
Tremors,1990,96,10000000,6.9,9657
Wild at Heart,1990,124,9500000,7,9549
Jacob's Ladder,1990,115,25000000,7.3,8901
Arachnophobia,1990,103,31000000,6.1,8608
"Silence of the Lambs, The",1991,118,19000000,8.5,92060
Terminator 2: Judgment Day,1991,154,100000000,8.2,77614
JFK,1991,206,40000000,7.8,26456
Beauty and the Beast,1991,90,NA,7.8,25672
Robin Hood: Prince of Thieves,1991,155,50000000,6.5,20286
Hook,1991,144,70000000,5.8,19368
Thelma & Louise,1991,129,16500000,7.3,18075
Cape Fear,1991,128,35000000,7.1,15585
Backdraft,1991,132,NA,6.6,12637
"Fisher King, The",1991,137,24000000,7.4,11952
"Addams Family, The",1991,99,38000000,6.4,11549
Delicatessen,1991,95,NA,7.8,11486
Point Break,1991,120,24000000,6.5,11180
Fried Green Tomatoes,1991,130,NA,7.4,10777
Hot Shots!,1991,84,NA,6.2,10637
Star Trek VI: The Undiscovered Country,1991,113,30000000,6.9,10367
"Doors, The",1991,140,38000000,6.7,10363
Boyz n the Hood,1991,107,6000000,7.7,10319
Barton Fink,1991,116,9000000,7.5,10223
"Last Boy Scout, The",1991,96,NA,6.4,10044
"Naked Gun 2 1/2: The Smell of Fear, The",1991,85,NA,6.3,9833
City Slickers,1991,112,NA,6.7,9286
Highlander II: The Quickening,1991,92,30000000,3.4,9264
Hudson Hawk,1991,103,65000000,5.1,8904
What About Bob?,1991,99,NA,6.6,8831
Father of the Bride,1991,105,NA,6.4,8636
Reservoir Dogs,1992,99,1200000,8.3,69240
Unforgiven,1992,131,NA,8.1,30868
"Few Good Men, A",1992,138,33000000,7.5,25237
Batman Returns,1992,126,80000000,6.5,23010
Aladdin,1992,90,28000000,7.6,22499
Dracula,1992,128,40000000,7.1,19972
Basic Instinct,1992,128,49000000,6.7,19520
Wayne's World,1992,95,NA,6.8,16677
Scent of a Woman,1992,157,NA,7.4,16312
"Last of the Mohicans, The",1992,117,40000000,7.5,15293
"League of Their Own, A",1992,128,40000000,6.9,14318
Lethal Weapon 3,1992,121,NA,6.3,13780
"Player, The",1992,124,NA,7.7,13647
Home Alone 2: Lost in New York,1992,120,NA,5,12899
Patriot Games,1992,117,45000000,6.8,12751
Sneakers,1992,126,NA,7,11994
Braindead,1992,97,3000000,7.5,11552
Glengarry Glen Ross,1992,100,NA,7.8,11485
"Bodyguard, The",1992,130,NA,5.3,11415
My Cousin Vinny,1992,120,11000000,7.2,10877
Sister Act,1992,100,NA,5.9,10051
Death Becomes Her,1992,99,55000000,5.6,9887
"Crying Game, The",1992,112,NA,7.3,9524
Under Siege,1992,98,12000000,6.1,9413
Far and Away,1992,140,30000000,6.2,8556
Schindler's List,1993,195,25000000,8.8,97667
Jurassic Park,1993,127,63000000,7.4,57473
"Fugitive, The",1993,130,44000000,7.7,48292
Groundhog Day,1993,101,NA,8,44819
True Romance,1993,121,12500000,7.7,25896
Army of Darkness,1993,96,11000000,7.4,22118
Mrs. Doubtfire,1993,125,NA,6.4,19744
"Nightmare Before Christmas, The",1993,76,18000000,7.8,19646
Sleepless in Seattle,1993,105,21000000,6.7,19224
Philadelphia,1993,125,26000000,7.5,17861
Tombstone,1993,130,NA,7.4,16618
What's Eating Gilbert Grape,1993,118,11000000,7.6,16345
Last Action Hero,1993,130,60000000,5.4,15266
Demolition Man,1993,115,NA,6.1,15100
Wallace & Gromit: The Wrong Trousers,1993,30,NA,8.4,14976
"Firm, The",1993,154,42000000,6.6,14708
Falling Down,1993,113,NA,7.3,14536
Dazed and Confused,1993,103,NA,7.3,13926
Carlito's Way,1993,145,NA,7.6,13080
In the Line of Fire,1993,138,40000000,7.3,12923
Much Ado About Nothing,1993,111,8000000,7.5,12491
Cliffhanger,1993,112,65000000,6,12434
"Piano, The",1993,121,7000000,7.4,12394
In the Name of the Father,1993,133,NA,7.8,10611
Robin Hood: Men in Tights,1993,104,NA,5.7,10426
Dave,1993,110,NA,7,10421
"Remains of the Day, The",1993,134,15000000,7.8,10310
"Pelican Brief, The",1993,141,NA,6.3,10119
Wayne's World 2,1993,95,NA,5.6,9584
Trois couleurs: Bleu,1993,100,NA,7.8,9517
"Bronx Tale, A",1993,121,22000000,7.5,9175
"Shawshank Redemption, The",1994,142,25000000,9.1,149494
Pulp Fiction,1994,168,8000000,8.8,132745
Forrest Gump,1994,142,55000000,8.2,89722
Clerks.,1994,92,230000,7.9,39927
Speed,1994,116,28000000,7.1,32979
"Lion King, The",1994,89,79300000,7.8,32924
True Lies,1994,141,100000000,7,31011
Dumb & Dumber,1994,101,16000000,6.6,27713
Interview with the Vampire: The Vampire Chronicles,1994,123,50000000,7.2,26698
Natural Born Killers,1994,122,50000000,6.6,25596
Ed Wood,1994,127,18000000,8,22612
"Mask, The",1994,97,18000000,6.4,21533
Ace Ventura: Pet Detective,1994,86,12000000,6.2,20705
"Crow, The",1994,98,15000000,7.2,20290
Four Weddings and a Funeral,1994,117,6000000,7.2,17820
Stargate,1994,130,55000000,6.4,17520
Maverick,1994,127,NA,6.7,13659
Legends of the Fall,1994,133,30000000,6.7,13327
Clear and Present Danger,1994,141,65000000,6.8,13025
"Hudsucker Proxy, The",1994,111,25000000,7.4,12903
Star Trek: Generations,1994,118,35000000,6.2,12651
Heavenly Creatures,1994,108,5000000,7.7,11453
Quiz Show,1994,133,NA,7.5,11316
Trois couleurs: Rouge,1994,99,NA,8.1,10385
Shallow Grave,1994,93,2500000,7.4,9401
Naked Gun 33 1/3: The Final Insult,1994,83,30000000,5.8,8918
"Flintstones, The",1994,91,45000000,4.5,8704
"Usual Suspects, The",1995,106,6000000,8.7,103854
Braveheart,1995,177,53000000,8.3,92437
Se7en,1995,127,30000000,8.4,88371
Twelve Monkeys,1995,129,29000000,7.9,62301
Toy Story,1995,81,30000000,7.9,46019
Heat,1995,188,60000000,7.9,44588
Apollo 13,1995,140,62000000,7.5,41098
Casino,1995,176,52000000,7.8,27234
Die Hard: With a Vengeance,1995,131,90000000,7,25258
Batman Forever,1995,122,100000000,5.4,24025
GoldenEye,1995,130,80000000,6.8,22991
Mallrats,1995,94,6100000,7.1,22837
Waterworld,1995,176,175000000,5.4,19325
Leaving Las Vegas,1995,111,4000000,7.5,18027
Desperado,1995,106,7000000,6.8,17929
Babe,1995,89,30000000,7.4,16988
Clueless,1995,97,20000000,6.7,16521
Dead Man Walking,1995,122,11000000,7.6,16177
Bad Boys,1995,118,23000000,6.4,15326
Ace Ventura: When Nature Calls,1995,90,30000000,4.9,15161
Jumanji,1995,104,65000000,6,14874
Get Shorty,1995,105,30250000,7,14825
Crimson Tide,1995,116,53000000,7.1,14033
Sense and Sensibility,1995,136,16500000,7.7,13904
Outbreak,1995,127,50000000,6.4,13796
While You Were Sleeping,1995,103,17000000,6.5,13035
"Net, The",1995,114,22000000,5.6,12201
Strange Days,1995,145,42000000,6.9,11869
"American President, The",1995,114,62000000,6.9,11834
Billy Madison,1995,89,NA,6.1,11626
Showgirls,1995,131,45000000,3.8,11483
Four Rooms,1995,98,4000000,6,10675
Hackers,1995,107,NA,5.8,10520
Dead Man,1995,120,9000000,7.6,10097
Judge Dredd,1995,96,90000000,4.6,9979
Before Sunrise,1995,105,2500000,7.8,9618
Mr. Holland's Opus,1995,143,NA,7.1,9273
Wallace & Gromit: A Close Shave,1995,30,NA,8.2,9261
Kids,1995,91,1500000,6.6,9099
Empire Records,1995,107,NA,6.2,8990
Species,1995,108,35000000,5.4,8963
Tommy Boy,1995,97,NA,6.5,8875
"Quick and the Dead, The",1995,107,32000000,6.1,8837
Casper,1995,100,55000000,5.6,8798
Mortal Kombat,1995,101,20000000,5,8779
First Knight,1995,134,75000000,5.6,8708
Fargo,1996,98,7000000,8.2,65597
Independence Day,1996,153,75000000,6.1,61831
Trainspotting,1996,94,3500000,8,51887
"Rock, The",1996,136,75000000,7,46184
Scream,1996,111,15000000,7,43652
Jerry Maguire,1996,139,50000000,7.3,34623
Mission: Impossible,1996,110,75000000,6.6,33496
From Dusk Till Dawn,1996,108,20000000,6.8,28473
Twister,1996,113,92000000,5.9,28315
Mars Attacks!,1996,106,70000000,6.1,27363
"English Patient, The",1996,160,27000000,7.1,25210
Star Trek: First Contact,1996,106,45000000,7.3,25046
Romeo + Juliet,1996,120,14500000,6.7,22306
Sling Blade,1996,135,NA,8,20361
Sleepers,1996,147,44000000,7,17896
Happy Gilmore,1996,92,10000000,6.8,17746
Ransom,1996,139,80000000,6.6,17678
"Cable Guy, The",1996,96,47000000,5.5,16266
Swingers,1996,96,200000,7.6,15827
"Time to Kill, A",1996,149,40000000,6.9,15577
Eraser,1996,115,100000000,5.8,14641
Broken Arrow,1996,108,65000000,5.7,14415
"Long Kiss Goodnight, The",1996,120,65000000,6.5,12516
Primal Fear,1996,129,30000000,7.5,12467
"Birdcage, The",1996,117,NA,6.5,12429
Shine,1996,105,5500000,7.6,12425
"People vs. Larry Flynt, The",1996,129,NA,7.2,12347
"Nutty Professor, The",1996,95,54000000,5.8,12273
Phenomenon,1996,123,32000000,6.3,12075
Bound,1996,109,4500000,7.5,11911
That Thing You Do!,1996,108,2500000,6.6,11701
Kingpin,1996,117,25000000,6.6,10643
Breaking the Waves,1996,158,NA,7.7,10494
Hamlet,1996,242,18000000,7.7,10065
Beavis and Butt-Head Do America,1996,81,12000000,6.2,9491
"Craft, The",1996,101,15000000,5.9,9187
Courage Under Fire,1996,117,46000000,6.7,8884
Titanic,1997,194,200000000,6.9,90195
L.A. Confidential,1997,138,35000000,8.4,69600
Good Will Hunting,1997,126,10000000,7.8,60858
"Fifth Element, The",1997,126,90000000,7.1,55398
Men in Black,1997,98,90000000,6.8,53231
As Good as It Gets,1997,139,50000000,7.7,47441
Face/Off,1997,133,80000000,7.1,37506
Contact,1997,153,90000000,7.3,36390
Austin Powers: International Man of Mystery,1997,94,17000000,7,33755
Starship Troopers,1997,129,95000000,6.7,32618
Chasing Amy,1997,111,250000,7.6,32141
Jackie Brown,1997,154,12000000,7.5,28891
Batman & Robin,1997,125,110000000,3.6,28457
"Game, The",1997,128,50000000,7.6,28099
"Lost World: Jurassic Park, The",1997,129,73000000,5.5,28055
Boogie Nights,1997,156,15000000,7.6,27380
"Devil's Advocate, The",1997,144,57000000,7,26904
Con Air,1997,115,75000000,6.3,26642
Air Force One,1997,124,85000000,6.3,26156
Gattaca,1997,101,36000000,7.6,26071
Alien: Resurrection,1997,116,70000000,6,24358
Liar Liar,1997,86,45000000,6.5,22969
"Full Monty, The",1997,91,3500000,7.2,22115
Scream 2,1997,120,24000000,5.9,21533
Grosse Pointe Blank,1997,107,15000000,7.4,20400
Donnie Brasco,1997,127,35000000,7.6,20029
Tomorrow Never Dies,1997,119,110000000,6.4,19397
Mononoke-hime,1997,134,NA,8.3,19350
My Best Friend's Wedding,1997,105,46000000,6.4,16648
Wag the Dog,1997,97,15000000,7,16434
Cube,1997,90,NA,7.4,16205
Lost Highway,1997,135,15000000,7.3,15936
I Know What You Did Last Summer,1997,99,17000000,5.3,15932
Event Horizon,1997,96,70000000,5.7,15510
Conspiracy Theory,1997,135,75000000,6.4,15470
Speed 2: Cruise Control,1997,121,110000000,3.3,13268
"Ice Storm, The",1997,112,18000000,7.5,13115
"Jackal, The",1997,124,60000000,5.7,12753
Cop Land,1997,116,15000000,6.7,12677
"Saint, The",1997,116,70000000,5.7,12591
Amistad,1997,152,40000000,7,10543
Anaconda,1997,89,45000000,4.1,10510
In & Out,1997,92,35000000,6.2,10352
U Turn,1997,125,19000000,6.5,10306
"Sweet Hereafter, The",1997,112,NA,7.9,9433
Seven Years in Tibet,1997,139,70000000,6.6,9426
Private Parts,1997,109,20000000,6.6,9289
Dante's Peak,1997,104,104000000,5.6,9203
G.I. Jane,1997,124,50000000,5.5,9116
Kiss the Girls,1997,111,27000000,6.4,9041
Bean,1997,90,22000000,5.4,9018
"Peacemaker, The",1997,124,50000000,5.9,8994
"Postman, The",1997,177,80000000,5.2,8773
Volcano,1997,104,90000000,5.2,8627
"Rainmaker, The",1997,135,40000000,6.8,8620
Saving Private Ryan,1998,170,70000000,8.3,100267
"Truman Show, The",1998,103,60000000,7.7,62434
American History X,1998,119,10000000,8.4,59677
"Big Lebowski, The",1998,117,15000000,8,50179
There's Something About Mary,1998,134,23000000,7.2,46343
Armageddon,1998,153,140000000,5.7,45330
Shakespeare in Love,1998,122,25000000,7.5,41999
"Lock, Stock and Two Smoking Barrels",1998,126,NA,7.9,34293
Lola rennt,1998,80,NA,8.2,32791
"Thin Red Line, The",1998,170,52000000,7.2,25637
Blade,1998,110,45000000,6.8,24372
Dark City,1998,100,27000000,7.6,23508
Enemy of the State,1998,131,90000000,7.1,23263
"Bug's Life, A",1998,96,45000000,7.4,23184
Godzilla,1998,133,125000000,4.4,22695
Deep Impact,1998,120,75000000,5.9,22684
Pleasantville,1998,124,40000000,7.5,22561
Rushmore,1998,93,10000000,7.7,22209
Ronin,1998,121,55000000,7,21982
Fear and Loathing in Las Vegas,1998,118,18500000,7.2,21484
You've Got Mail,1998,119,65000000,6.2,20053
"Wedding Singer, The",1998,95,NA,6.8,19487
Pi,1998,84,60000,7.5,19431
"Negotiator, The",1998,139,50000000,7.2,19100
Out of Sight,1998,123,48000000,7.3,18776
Rush Hour,1998,93,35000000,6.7,18336
"X Files, The",1998,121,66000000,6.7,18314
"Mask of Zorro, The",1998,136,65000000,6.8,18220
Lethal Weapon 4,1998,127,140000000,6.3,17758
Wild Things,1998,115,20000000,6.6,17672
